conm,fyear,at,roe,return
BRAMBLES LTD,2007,5017.4,0.198244732,0.172128295
ODESSA MINERALS LIMITED,2003,14.005,0.009361418,0.172413793
BROAD INVESTMENTS,2003,1.409,-2.990516333,0.172413793
SPHERE MINERALS LTD,2004,4.66,-0.18744626,0.172413793
BANNERMAN ENERGY LTD,2017,58.578,-0.049431092,0.172413793
GOLDEN RIM RESOURCES LTD,2020,7.598,-0.841429633,0.172413793
WESTERN AREAS LTD,2019,596.53,0.028663485,0.172498111
PRT COMPANY LIMITED,2007,459.928,0.229308515,0.172603658
GAZAL CORP LTD,2003,133.473,0.118103438,0.172621783
ENERGY DEVELOPMENTS LTD,2012,857.174,0.034937856,0.172839506
POLYNOVO LTD,2014,9.414,-0.354140281,0.172839506
AVATAR INDUSTRIES LTD,2007,155.736,-0.000523344,0.1728965
CONSOLIDATED MEDIA HLDGS LTD,2010,486.749,0.18464389,0.173008688
GWA GROUP LTD,2002,821.744,0.120557121,0.173070297
PACIFIC MINING LTD,2006,6.834,-0.06164273,0.173076923
ALCHEMIA LTD - OLD,2013,41.486,-0.168420309,0.173076923
FRONTIER DIGITAL VENTURES,2019,60.48,-0.028448567,0.173076923
BHP GROUP LTD,2006,48516,0.505184791,0.173080587
DATELINE RESOURCES LTD,2021,34.027,-0.378925713,0.173333333
GUD HOLDINGS LTD,2014,443.02,0.078879874,0.173396242
VEDA GROUP LTD,2015,1074.349,0.104160247,0.173471866
INTOLL GROUP,2004,11451.607,-0.040063315,0.173588826
ORCODA LTD,2005,7.259,-0.203232894,0.173619361
OZ MINERALS LIMITED,2017,2826.3,0.094895906,0.173661192
LEGEND CORP LTD,2012,99.612,0.169894041,0.173667701
MISSION NEWENERGY LTD,2007,104.473,-0.041038129,0.173728814
COLLECTION HOUSE LTD,2017,337.993,0.094248898,0.173764398
BRISBANE BRONCOS LTD,2012,34.535,0.082494005,0.17383512
PROPERTY CONNECT HOLDINGS,2006,5.625,-3.833590139,0.173913043
DMX CORP LTD,2011,71.214,0.077579954,0.173913043
CRATER GOLD MINING LTD,2011,23.373,-0.278603877,0.173913043
ADVANCE ZINCTEK LTD,2015,5.837,0.045423637,0.173913043
PHOENIX GOLD LTD,2015,40.645,-0.493613806,0.173913043
KALINA POWER LTD,2020,0.57,-0.545992274,0.173913043
COMET RESOURCES LTD,2021,5.161,-1.199641256,0.173913043
LODESTAR MINERALS LTD,2014,1.322,-0.362081864,0.174136777
APA GROUP,2002,1416.869,0.083113142,0.17424861
LEMARNE CORP LTD,2007,47.301,0.133853971,0.174328572
APOLLO CONSOLIDATED LTD,2021,58.219,-0.007992607,0.174603175
METAROCK GROUP LTD,2012,124.384,0.30062425,0.174608421
LEMARNE CORP LTD,2006,65.905,-0.106226887,0.174759834
RIDLEY CORP LTD,2018,510.319,0.066582525,0.17477931
EMPIRE RESOURCES LTD,2020,4.679,0.218087855,0.174853917
SPACETALK LTD,2006,1.4,-0.52343426,0.175
REEDY LAGOON CORP LTD,2009,2.235,-0.246898515,0.175
INDO MINES LTD,2010,36.836,-1.059138838,0.175
PROTEOMICS INTERNATIONAL LAB,2018,5.495,-0.45823389,0.175
NOVATTI GROUP LTD,2020,32.84,-3.887903512,0.175
AMCOM TELECOMMUNICATIONS,2002,61.404,-0.032774823,0.175009823
SIMS LTD,2014,2649.4,-0.047253302,0.175052411
METALLICA MINERALS LTD,2011,83.339,-0.037915708,0.175137368
ARANA THERAPEUTICS LTD,2006,100.186,0.062769216,0.175182482
ENERGY TECHNOLOGIES LTD,2003,9.821,-0.116799393,0.175265188
PO VALLEY ENERGY LTD,2018,9.501,-0.261519903,0.17567568
NATIONAL CAN INDUSTRIES LTD,2007,164.322,0.096187113,0.175714729
PPK GROUP LTD,2012,52.179,0.052315725,0.175821425
WESFARMERS LTD,2016,40783,0.017054264,0.176105844
HEALTH COMMUNICATION NETWORK,2004,24.176,1.101730467,0.176107862
SYRAH RESOURCES LIMITED,2013,37.848,-0.170850115,0.176211454
PRT COMPANY LIMITED,2004,383.53,0.080907932,0.176259814
AMA GROUP LTD,2018,362.854,0.090628787,0.176291792
SANDFIRE RESOURCES LTD,2017,575.909,0.190263217,0.176371301
HARVEY NORMAN HLDGS LTD,2015,4358.544,0.107056903,0.176375758
CSL LTD,2019,12314.4,0.411243999,0.176420538
AMBITION GROUP LTD,2003,5.273,-0.321237359,0.176470588
IGO LTD,2004,68.497,0.804147145,0.176470588
BROADCAST PRODUCTION SVCS,2007,56.178,0.218877268,0.176470588
EXORE RESOURCES LTD,2007,4.409,-0.221027479,0.176470588
ELECTROMETALS TECHNOLOGIES,2009,7.521,-0.317297099,0.176470588
EML PAYMENTS LTD,2011,14.866,-1.277660761,0.176470588
ANIMOCA BRANDS CORP LTD,2011,4.893,-0.335892514,0.176470588
IMPELUS LTD,2012,4.707,-0.166078871,0.176470588
ARGOSY MINERALS LTD,2012,0.972,-0.864889706,0.176470588
BIOTRON LTD,2014,1.864,-1.052344416,0.176470588
BEAM COMMUNICATIONS HLDG LTD,2014,9.147,3.512,0.176470588
AMANI GOLD LTD,2014,9.272,-0.589179149,0.176470588
PANORAMIC RESOURCES LTD,2017,146.185,-0.042346057,0.176470588
EXPLAURUM LTD,2017,13.276,-0.137722813,0.176470588
CHANGE FINANCIAL LTD,2017,10.914,-0.806551042,0.176470588
MYOB GROUP LTD,2006,358.637,0.065113814,0.17672414
ORICA LTD,2016,6595.8,0.11888124,0.176755511
RIDLEY CORP LTD,2012,516.715,0.066223753,0.176939014
INFIGEN ENERGY,2019,1277.259,0.070807233,0.177064551
REECE LTD,2009,838.613,0.188883205,0.177094999
GRAND GULF ENERGY LTD,2007,12.533,-0.314954558,0.177128233
INVOCARE LTD,2011,806.417,0.22721117,0.177204835
RHIPE LTD,2015,70.239,-0.098999765,0.177272727
CODAN LTD,2021,503.559,0.327936744,0.177273303
QUESTE COMMUNICATIONS LTD,2018,4.707,-0.30461596,0.177419355
TPC CONSOLIDATED LTD,2014,15.846,-1.220243542,0.177536234
SCHAFFER CORP,2016,187.374,0.081951374,0.177573437
DCA GROUP LTD,2003,605.977,0.065780922,0.177587361
MAXIPARTS LIMITED,2007,155.542,0.105003994,0.177594813
ASIA PACIFIC DIGITAL LTD,2003,2.401,-0.679286694,0.17768595
OZ MINERALS LIMITED,2007,2427.395,0.246951141,0.177753272
COKAL LTD,2020,26.536,-0.306392096,0.177777778
LITHIUM AUSTRALIA LIMITED,2020,27.924,-0.327486951,0.177777778
Q TECHNOLOGY GROUP LTD,2009,13.927,-0.317842982,0.177988166
SIGMA CO LTD,2002,631.009,0.115425694,0.17808014
SEEING MACHINES LD,2016,44.666,-0.049551043,0.178278689
MAYNE PHARMA GROUP LTD,2014,265.82,0.151982953,0.178294574
SABRE RESOURCES,2010,16.134,-0.055803571,0.178571429
NEON CAPITAL LTD,2014,21.955,-0.21171053,0.178571429
BULLETIN RESOURCES LTD,2017,5.899,-0.047519945,0.178571429
MARQUEE RESOURCES LTD,2018,9.341,-0.606513441,0.178571429
DE MEM LIMITED,2019,14.634,-0.613192612,0.178571429
TERRACOM LTD,2021,623.991,,0.178571429
IRESS LTD,2013,584.975,0.106881067,0.178736347
KORVEST LTD,2018,37.864,0.046502938,0.178813732
ROC OIL CO LTD,2001,303.747,-0.045771418,0.178861789
CSL LTD,2014,6277.7,0.423745299,0.178867853
AV JENNINGS LTD,2021,625.268,0.046659412,0.179163359
SEVEN GROUP HLDS LTD,2021,8755.3,0.182969413,0.179367343
ALINTA LTD,2001,761.223,0.09953872,0.179418319
ADBRI LTD,2016,1826.7,0.153820749,0.179501052
BRIDGESTONE AUSTRALIA LTD,2001,335.053,0.063703048,0.179507393
HARVEY NORMAN HLDGS LTD,2014,4225.336,0.088175646,0.179540936
SERVCORP LTD,2016,392.544,0.15796611,0.179585885
SIGMA HEALTHCARE LTD,2010,1552.998,-0.076933563,0.179710159
NEURIZER LTD,2021,55.183,-0.317672802,0.179775281
FERTOZ LTD,2020,7.631,-0.212169349,0.179786885
PROMENTUM LTD,2005,109.544,0.163166234,0.179892167
COLORPAK LTD,2005,81.283,0.076754901,0.179903524
HWW LTD,2003,2.639,-0.180806676,0.18
GLOBE METALS & MINING LTD,2007,12.31,-0.214573878,0.18
MOSAIC BRANDS LTD,2021,366.071,,0.18
ADBRI LTD,2014,1813.3,0.15750114,0.180080764
BLAZE MINERALS LIMITED,2019,5.791,-0.123662927,0.18016129
XREF LTD,2017,7.267,-2.539732494,0.180327869
MINOTAUR EXPLORATION LTD,2020,11.504,-0.385828232,0.180327869
RURALCO HOLDINGS LTD,2004,179.739,0.08015249,0.180629538
ALLIANCE NICKEL LIMITED,2014,35.233,0.01326559,0.180666667
DECMIL GROUP LTD,2019,438.199,0.063509898,0.180824403
NORTHERN ENERGY CORP LTD,2006,8.43,-0.109935987,0.180851064
UNITED MINERALS CORP NL,2008,19.958,-0.480282725,0.180851064
GUD HOLDINGS LTD,2010,339.6,0.265501068,0.181009968
THE CITADEL GROUP LTD,2016,116.742,0.139570773,0.181389739
KAGARA LTD,2007,430.207,0.60377777,0.181599834
REECE LTD,2001,295.574,0.16730002,0.181670108
MILLENNIUM MINERALS LIMITED,2002,3.872,0.005807623,0.181818182
ESPREON LTD,2003,18.652,0.042224929,0.181818182
CHARIOT LTD,2004,20.006,-0.034121417,0.181818182
PHOSLOCK ENVIRNMNTL TECH LTD,2006,8.973,-0.482055357,0.181818182
RMG LTD,2009,2.35,-0.653372434,0.181818182
MUTINY GOLD LTD,2009,2.306,-1.184710609,0.181818182
CARNAVALE RESOURCES LTD,2009,12.821,-0.268831785,0.181818182
VGI HEALTH TECHNOLOGY LIMITE,2009,1.349,-1.90210325,0.181818182
CARLY HOLDINGS LTD,2010,6.723,-0.714605623,0.181818182
EMPIRE RESOURCES LTD,2011,2.979,-0.84649512,0.181818182
IMMUTEP LTD,2012,41.613,-0.432292401,0.181818182
KRESTA HOLDINGS LTD,2014,34.248,0.002507232,0.181818182
XANADU MINES LTD,2015,43.548,-0.156456819,0.181818182
ALTECH BATTERIES LIMITED,2017,24.784,-0.317176195,0.181818182
MELBANA ENERGY LTD,2020,10.399,-0.25845859,0.181818182
AUSTRALIAN VANADIUM LTD,2020,30.176,-0.098173268,0.181818182
PURSUIT MINERALS LTD,2020,4.045,-0.276610169,0.181818182
ASTON MINERALS LIMITED,2020,9.579,-0.159577096,0.181818182
MOQ LTD,2021,33.545,-0.090538665,0.181818182
PROTEAN ENERGY LTD,2021,1.963,-0.546875,0.181818182
COLLINS FOODS LTD,2020,1153.805,0.104370074,0.182078547
ZENITAS HEALTHCARE LTD,2016,9.119,-0.618724198,0.182186235
SELECT HARVESTS LTD,2021,1003.805,0.05427022,0.182248194
NEWHAVEN HOTELS LTD,2014,77.304,0.081456887,0.182286699
ISELECT LTD,2021,172.307,-0.017506508,0.182314952
SOVRAN WHITE INTL LTD,2014,17.078,-0.18134144,0.182333333
SONIC HEALTHCARE LTD,2003,1543.389,0.049529621,0.182337941
SEDGMAN LIMITED,2010,265.612,0.228673143,0.182463769
TPG CORPORATION LTD,2010,959.115,0.144698696,0.182481837
AUB GROUP LTD,2009,307.701,0.160400623,0.182490105
STELLAR RESOURCES LTD,2010,8.239,0.021371897,0.182795699
MITCHELL SERVICES LTD,2019,70.197,0.592491514,0.182981664
HORIZON MINERALS LTD,2005,10.411,0.151337247,0.183098592
ZELIRA THERAPEUTICS LTD,2019,3.515,-0.765500965,0.183098592
GLOBE INTERNATIONAL LTD,2017,60.53,0.1489025,0.183173079
E3SIXTY LTD,2004,3.893,0.000260451,0.183333333
CTI LOGISTICS LTD,2018,164.707,0.045284742,0.183363966
METCASH LTD,2006,3126.991,0.151915555,0.183602498
PATRICK CORP LTD,2002,1834.407,0.114680504,0.183669727
ZENITAS HEALTHCARE LTD,2017,50.277,-0.033130293,0.183729433
SPARK INFR GROUP,2012,2438.641,0.123857433,0.183749961
SPARK INFR GROUP,2020,3051.51,0.064928107,0.183772717
SERVCORP LTD,2012,274.727,0.075646336,0.183915182
BRAMBLES LTD,2014,7437.7,0.202375182,0.183920608
MACQUARIE TECHNOLOGY GROUP,2011,118.309,0.242708591,0.183981174
ARMOUR ENERGY LTD,2017,91.735,-0.229766529,0.184099433
KIP MCGRATH EDUCATION CENTRE,2012,12.376,0.032388664,0.184210526
AUSTRALIAN PHARM INDS LTD,2000,542.276,0.138785854,0.184278079
XRF SCIENTIFIC LTD,2012,30.605,0.157005357,0.184351415
QRXPHARMA LIMITED,2011,8.249,-2.817806181,0.184366
BCI MINERALS LTD,2012,203.075,0.507968568,0.184436553
SIGMA HEALTHCARE LTD,2016,1118.882,0.097682556,0.184496364
TELIX PHARMACEUTICALS LTD,2019,102.608,-0.453173532,0.18452381
HANCOCK & GORE LTD,2006,128.816,0.123753205,0.184743731
SUPER RETAIL GROUP LTD,2019,1779,0.172368991,0.185011492
NAVITAS LTD,2008,255.857,0.389694897,0.185039209
NORTHERN GOLD NL,2005,20.698,0.032278924,0.185185185
RED METAL LTD,2007,10.421,-0.368876972,0.185185185
HORIZON OIL LTD,2009,140.151,-0.039196048,0.185185185
WISR LTD,2009,14.86,0.151318777,0.185185185
AUDIO PIXELS HOLDINGS LTD,2018,14.338,-0.698987087,0.185185185
DECMIL GROUP LTD,2016,322.951,-0.199095842,0.185186769
REBEL SPORT LTD,2000,105.193,0.007597063,0.185288568
MMA OFFSHORE LTD,2011,467.01,0.184884067,0.185303503
NOUMI LIMITED,2011,76.717,0.10369565,0.18548387
AROVELLA THERAPEUTICS LTD,2019,16.253,-0.612766292,0.18559246
ADBRI LTD,2015,1838.5,0.177791081,0.185592541
BREVILLE GROUP LTD,2018,445.349,0.215601536,0.185706212
ELANOR INVESTORS GROUP,2019,468.824,0.104695886,0.185765674
SYMBIO HOLDINGS LTD,2017,150.466,0.224870708,0.185803637
RAMSAY HEALTH CARE LTD,2015,7616.978,0.252148094,0.185932718
ORIGIN ENERGY LTD,2002,2957.934,0.089177135,0.186016611
AUSNET SERVICES,2011,8730.9,0.088040326,0.186408331
BURNS PHILP & CO LTD,2003,4604.1,0.468577729,0.186440678
ORION TELECOMMUNICATIONS LTD,2007,28.563,-0.069743739,0.186493984
UNITAB LTD,2006,443.001,0.674293764,0.186539372
WARRNAMBOOL CHEESE & BUTTER,2008,241.159,0.216190707,0.186555398
ENERGY DEVELOPMENTS LTD,2004,629.608,-0.030837987,0.186595395
TABCORP HOLDINGS LTD,2005,6484.5,0.140517989,0.186762748
WRIDGWAYS AUSTRALIA LTD,2010,38.71,0.352740116,0.187103798
GASNET AUSTRALIA GROUP,2004,961.536,0.057106811,0.187158612
INVOCARE LTD,2007,332.369,0.526020389,0.187363171
BISALLOY STEEL GROUP LTD,2005,247.881,0.228955294,0.187478305
REGIS RESOURCES LTD,2015,516.189,0.237800482,0.187493068
VITA LIFE SCIENCES LTD,2010,14.512,0.806364129,0.187499997
SUNSHINE METALS LTD,2003,3.617,-0.3201208,0.1875
VIROTEC INTERNATIONAL PLC,2004,10.654,-1.964627428,0.1875
BEAM COMMUNICATIONS HLDG LTD,2007,5.905,-4.553892216,0.1875
TASMANIA MINES LTD,2009,28.073,0.158095238,0.1875
ADVANCED BRAKING TECH LTD,2011,9.096,0.09301539,0.1875
CLARITY OSS LTD,2012,28.014,,0.1875
SINO GAS & ENERGY HLDGS LTD,2014,109.416,0.007823947,0.1875
BBX MINERALS LTD,2019,3.042,-0.703485518,0.1875
DOMINOS PIZZA ENTERPRISES LT,2018,1302.411,0.336131989,0.18755149
ALLIANCE RESOURCES LTD,2004,2.967,-0.720324815,0.187606709
ENERGY WORLD CORP LTD,2021,1705.679,0.000697511,0.188274286
REEF CASINO TRUST,2009,115.031,0.152246997,0.188580939
COLLECTION HOUSE LTD,2014,285.23,0.133963102,0.188900641
MACA LTD,2012,226.165,0.367233153,0.188941372
VOCUS GROUP LTD,2012,92.629,0.205272398,0.189003436
SYNERGY PLUS LTD,2010,58.807,0.031908832,0.189189189
SYNERGIA ENERGY LTD,2011,46.544,-0.289902719,0.189189189
SINO GAS & ENERGY HLDGS LTD,2011,44.402,-0.125836359,0.189189189
ECOGRAF LTD,2016,12.533,-0.356007841,0.189189189
VIRGIN AUSTRALIA HLDGS LTD,2018,6188.4,-0.512203377,0.189189189
WEST WITS MINING LTD,2021,15.49,-0.021359223,0.189189189
LASERBOND LIMITED,2016,8.617,0.012804927,0.189243699
TRANSURBAN GROUP,2013,10071.626,0.052446753,0.189430727
DULUXGROUP LTD,2015,1159.109,0.352436551,0.189483538
PATRICK CORP LTD,2005,4677.167,0.104066317,0.189626861
EVT LIMITED,2014,1238.418,0.086333062,0.189634246
AVANCO RESOURCES LTD,2014,79.802,-0.018619588,0.189873418
TRANSMETRO CORP LTD,2012,49.442,-0.162761273,0.190082645
GOLD ROAD RESOURCES LTD,2018,495.348,-0.065730947,0.190184049
WEBJET LTD,2007,25.937,0.162518302,0.190438867
CORPORATE EXPRESS AUSTRALIA,2003,354.792,0.283924947,0.19047289
CENTAURUS METALS LTD,2003,3.946,-0.309328072,0.19047619
BLACKTHORN RESOURCES LTD,2005,11.635,-0.379946216,0.19047619
MEDTECH GLOBAL LTD,2005,6.393,-0.085933749,0.19047619
CHONGHERR INVESTMENTS LTD,2006,7.059,0.129611167,0.19047619
MAKO GOLD LTD,2020,7.076,-0.266666667,0.19047619
LEGEND MINING NL,2020,50.841,-0.02847652,0.19047619
RCR TOMLINSON LTD,2007,267.41,0.15806294,0.190476193
SUNDOWNER GROUP,2005,74.824,0.057807659,0.190708335
OPUS GROUP LTD,2016,46.854,0.195391901,0.190762521
MCMILLAN SHAKESPEARE LTD,2011,300.508,0.426226775,0.191054495
ADBRI LTD,2013,1633.7,0.146393451,0.191376569
OAKTON LTD,2013,133.121,0.087152274,0.191447078
SANTOS LTD,2008,9801.9,0.49854223,0.191479762
SOMNOMED LTD,2011,8.732,0.124705089,0.191489362
PALAMEDIA LTD,2006,1.113,,0.192085714
MESA MINERALS LTD,2007,1.48,-0.461663948,0.192307692
PROSPERITY RESOURC,2007,4.991,-0.564187163,0.192307692
ALEXIUM INTERNATIONAL GROUP,2014,13.773,-0.500592528,0.192307692
QUESTE COMMUNICATIONS LTD,2017,5.678,-0.358348481,0.192307692
ANTERIS TECHNOLOGIES LTD,2017,28.37,-0.466418112,0.192307692
FANTASTIC HOLDINGS LTD,2016,184.571,0.105239427,0.192411677
KIMBERLEY DIAMONDS LTD,2016,35.737,-1.385055125,0.192571429
CLEAN SEAS SEAFOOD LTD,2014,45.869,0.333178876,0.192982456
FAIRFAX MEDIA LTD,2015,2823.27,0.042269828,0.193004446
BEACH ENERGY LTD,2019,3913.9,0.274095527,0.193052826
BEACON LIGHTING GROUP LTD,2020,267.214,0.261243153,0.193112931
DORAY MINERALS LTD,2011,28.632,-0.105156667,0.193181818
SINO GOLD MINING LTD,2007,743.564,-0.139820234,0.193290735
IRESS LTD,2005,54.604,0.517687093,0.193329308
TABCORP HOLDINGS LTD,2018,12940.8,0.006581059,0.193445034
HARVEY NORMAN HLDGS LTD,2021,6672.934,0.230172157,0.193518895
PAN PACIFIC PETROLEUM NL,2017,19.045,-0.118261094,0.193548387
SUPER RETAIL GROUP LTD,2016,1569.5,0.083543967,0.193558262
STRATEGIC MINERALS CORP NL,2014,22.102,-0.076373932,0.19357453
AWE LTD,2007,714.749,0.068910313,0.193771626
1300 SMILES LTD,2009,16.271,0.476547842,0.193796758
RED HILL MINERALS LTD,2016,10.129,-0.066195023,0.194029851
NORTHWEST RESOURCES LTD,2007,20.332,-0.058930295,0.194104
MACRO METALS LIMITED,2012,54.902,0.456533429,0.194211655
LEMARNE CORP LTD,2005,60.179,0.128661126,0.194214334
LBT INNOVATIONS LTD,2007,16.657,0.140660302,0.194444444
MINARA RESOURCES LTD,2005,714.392,0.081381429,0.19480498
METAL STORM LTD,2003,22.419,-0.428870152,0.194805195
GOODMAN FIELDER LTD - OLD,2001,2666.4,-0.065033223,0.194892392
MITCHELL SERVICES LTD,2018,58.293,-0.131169596,0.195121951
COCHLEAR LTD,2014,789.036,0.273157095,0.195241984
BEACH ENERGY LTD,2012,2148.193,0.11471322,0.195522879
EXCO RESOURCES LTD,2009,55.802,-0.06710266,0.195652174
EUROPA METALS LTD,2009,6.014,-0.227301893,0.195652174
HYDRIX LTD,2012,0.502,-2.880157171,0.195652174
ALLIANCE RESOURCES LTD,2009,59.694,-0.076751881,0.196017982
TRANSURBAN GROUP,2016,23030,0.020195838,0.19616814
GIBB RIVER DIAMONDS LTD,2012,10.513,-0.161999222,0.196428571
VECOMMERCE LTD,2006,14.885,0.118095804,0.196561745
KINGSGATE CONSOLIDATED LTD,2001,49.62,-0.168351367,0.196637636
SAYONA MINING LTD,2016,1.638,-2.328233658,0.196791567
IMDEX LTD,2019,259.213,0.135953789,0.196877007
RAMSAY HEALTH CARE LTD,2003,654.052,0.155626253,0.196959007
NOVA EYE MEDICAL LTD,2021,41.994,-0.064096056,0.196969697
SUPPLY NETWORK LTD,2020,106.581,0.236970118,0.197020463
WELLCOM GROUP LTD,2018,95.577,0.185516603,0.197096839
GRANDBRIDGE LTD,2006,3.273,0.59055317,0.197183099
PAS GROUP(THE),2016,168.624,0.090172158,0.197494827
EMECO HOLDINGS LTD,2009,1119.953,0.019166519,0.19757174
ARB CORP,2007,101.875,0.242623961,0.197632578
MYER HOLDINGS LTD,2019,1286.612,0.041269935,0.197802198
GWA GROUP LTD,2010,812.43,0.129373709,0.197895869
ALTAMIN LIMITED,2015,6.713,-1.258310627,0.198284395
BHP GROUP LTD,2003,28877,0.14728007,0.19829592
AUB GROUP LTD,2017,754.362,0.110506825,0.198322441
ALLKEM LIMITED,2017,240.143,0.022776313,0.198391421
APA GROUP,2003,1431.822,0.09308855,0.199151176
MAXIPARTS LIMITED,2017,243.493,0.085982345,0.199393679
ROBERTS LTD,2004,157.203,0.196376175,0.199407598
BRICKWORKS LTD,2007,1867.518,0.105020336,0.199564295
QUBE HOLDINGS LTD,2019,4747.6,0.070655885,0.199622458
1300 SMILES LTD,2015,40.084,0.215670529,0.199623348
TOLL HOLDINGS LTD,2002,1149.757,0.247853806,0.199718426
RHS LIMITED,2009,9.813,-0.126799079,0.199769053
DOWNER EDI LTD,2004,2119.137,0.107122027,0.199955867
KEYCORP LTD,2002,181.912,-1.207974468,0.2
ROMA PETROLEUM NL,2002,2.308,-0.174285714,0.2
CUE ENERGY RESOURCES LTD,2003,38.419,0.019151089,0.2
FOX RESOURCES LTD (AUSTRALIA,2004,16.87,-0.909882747,0.2
DIMERIX LTD,2004,1.828,,0.2
EMPIRE ENERGY GROUP LTD,2005,8.243,-0.147603486,0.2
SITE GROUP INTERNATIONAL LTD,2005,14.865,-0.03354232,0.2
GULLEWA LTD,2005,3.843,-0.090445518,0.2
FIN RESOURCES LTD,2005,0.744,-3.118320611,0.2
MANDRAKE RESOURCES LTD,2006,4.649,-0.801270598,0.2
PLANET PLATINUM LTD,2006,17.321,-0.119250426,0.2
NIDO PETROLEUM LTD,2006,51.122,-0.475451045,0.2
HAMPTON HILL MINING NL,2007,7.493,-0.079224665,0.2
TORO ENERGY LTD,2007,33.703,-0.049775016,0.2
CYPRESS LAKES GROUP LTD,2009,45.656,-0.947720472,0.2
QUAY MAGNESIUM LTD,2009,18.284,-0.678658917,0.2
STRICKLAND METALS LTD,2009,2.834,-0.200364299,0.2
SI6 METALS LIMITED,2009,10.6,-0.066993772,0.2
BCD RESOURCES NL,2010,71.778,-0.026033728,0.2
JABIRU METALS LTD,2010,121.302,0.228164848,0.2
IMPELUS LTD,2010,6.475,0.024163843,0.2
ARDIDEN LTD,2010,5.233,-0.564300909,0.2
SKY AND SPACE COMPANY LTD,2010,2.773,-4.875427455,0.2
OGL RESOURCES LTD,2010,1.08,-0.031865042,0.2
PARAGON CARE LTD,2011,18.055,0.20254671,0.2
CORAZON MINING LTD,2011,3.448,-1.397804054,0.2
ZYBER HOLDINGS LTD,2011,23.013,-0.19709118,0.2
ALTECH BATTERIES LIMITED,2011,8.065,-0.111198215,0.2
AXIOM MINING LTD,2011,22.553,-0.329924637,0.2
SPHERE MINERALS LTD,2011,233.65,-0.06093784,0.2
PRODIGY GOLD NL,2012,44.747,-0.333629304,0.2
SCANTECH LTD,2012,20.635,0.164564331,0.2
INDOCHINE MINING LTD,2012,72.205,-0.045786905,0.2
FINDI LIMITED,2013,8.29,-0.117241775,0.2
GREENSTONE RESOURCES LTD,2014,9.809,-0.079750591,0.2
RAND MINING LTD,2014,52.422,0.066546702,0.2
WEEBIT NANO LTD,2014,13.842,-0.153476767,0.2
RENT.COM.AU LTD,2014,1.033,-0.576889661,0.2
CHALMERS LTD,2015,50.973,-0.022025841,0.2
AUSTRALIAN AGRICULTURAL PROJ,2015,13.616,0.118927973,0.2
GREEN CRITICAL MINERALS LTD,2015,9.834,-0.291439144,0.2
ECHO RESOURCES LTD,2015,11.581,-0.266201686,0.2
AERIS RESOURCES LTD,2015,178.073,,0.2
CHINA WASTE CORPORATION LTD,2015,0.877,-2.444633008,0.2
INTL GOLDFIELDS LTD,2016,1.396,,0.2
ALLIANCE NICKEL LIMITED,2016,29.962,0.084283788,0.2
ASPERMONT LTD,2016,26.618,-1.173696145,0.2
LINCOLN MINERALS LTD,2016,6.473,-0.112710567,0.2
SABRE RESOURCES,2017,26.28,-0.036128368,0.2
GASFIELDS LTD,2017,6.195,-0.563986679,0.2
VANGO MINING LTD,2017,13.825,-1.069415149,0.2
DYNASTY METALS AUSTRALIA,2017,8.059,-0.169128354,0.2
PETREL ENERGY LTD,2017,34.431,-0.130478909,0.2
WINGARA AG LIMITED,2017,23.361,-0.047387673,0.2
WOLLONGONG COAL LTD,2017,827.105,,0.2
ANALYTICA LTD,2018,3.303,-1.06380882,0.2
EXPLAURUM LTD,2018,24.362,-0.111428489,0.2
MGC PHARMACEUTICALS LTD,2018,19.994,-0.546774514,0.2
CHESSER RESOURCES LTD,2018,5.806,-0.223624255,0.2
AUSMON RESOURCES LTD,2018,2.011,-0.465043205,0.2
BLIGH RESOURCES LTD,2018,5.438,-0.138329114,0.2
ADALTA LTD,2018,4.439,-0.652394652,0.2
GOLDEN MILE RESOURCES,2018,4.405,-0.191435768,0.2
ASIAN AMERICAN MEDICAL GROUP,2018,21.156,0.161600265,0.2
BASSARI RESOURCES,2018,61.417,-0.034421785,0.2
FARMAFORCE LTD,2019,1.697,,0.2
CRITICAL RESOURCES LTD,2019,0.34,,0.2
KINGSTON RESOURCES LTD,2020,29.879,-0.032497137,0.2
MOAB MINERALS LTD,2020,9.533,-0.041780582,0.2
OPYL LTD,2020,0.936,-5.842271293,0.2
BOSS ENERGY LIMITED,2020,21.707,-0.36074647,0.2
LODESTAR MINERALS LTD,2020,0.323,,0.2
DATELINE RESOURCES LTD,2020,25.422,-0.208645596,0.2
INCENTIAPAY LTD,2020,27.279,-2.75660873,0.2
PUREPROFILE LTD,2020,16.682,,0.2
ADHERIUM LTD,2020,6.718,-5.409112482,0.2
CALIX LTD,2020,42.762,-0.330245689,0.2
NOVA MINERALS LTD,2021,56.867,-0.10042862,0.2
ENSURANCE LTD,2021,23.027,,0.2
IDENTITII LTD,2021,5.961,-2.045294944,0.2
TATTS GROUP LTD,2013,5445.06,0.083849337,0.200064651
INVOCARE LTD,2005,279.304,0.398500257,0.200196685
MONADELPHOUS GROUP LTD,2012,691.909,0.625848759,0.200218041
BHP GROUP LTD,2017,117006,0.105604762,0.200301662
COLES GROUP LTD - OLD,2007,9721.1,0.191903848,0.200388825
TRITON MINERALS LTD,2016,17.368,-1.73151297,0.200652409
AUSTRALIAN VINTAGE LTD,2002,471.306,-0.350187121,0.200848763
