Player,DOB,height,weight
"Marshall, Phonse",1917-08-29,175,69
"Burns, Tom",1916-10-13,180,83
"Lidgerwood, Vin",1916-07-22,183,86
"McWilliams, Frank",1915-11-25,168,70
"Taylor, Vic",1922-10-23,183,83
"Beasley, Harry",1919-07-26,184,84
"Helmer, Clyde",1916-04-22,184,80
"Howard, Stan",1916-04-19,178,83
"Glenister, Mick",1917-11-21,180,74
"Bethune, Rupe",1917-08-15,187,81
"Kearney, Dan",1921-05-23,183,79
"Miller, Keith",1921-06-20,182,79
"Grove, Ron",1919-06-05,185,86
"Nicolson, Max",1917-10-12,180,85
"Heard, Harry",1920-12-03,180,74
"Bartlett, Bill",1915-09-05,179,NA
"Taylor, Percy",1919-04-10,168,70
"Palmer, Keith",1919-11-29,185,75
"Hawking, Fred",1909-09-22,180,73
"Everett, Allan",1913-04-12,177,85
"Hore, Bernie",1916-06-02,183,83
"Nash, Jim",1914-05-14,170,80
"Lynch, Jack",1918-08-09,185,80
"Muller, Nick",1914-09-10,175,69
"Slack, Laurie",1915-03-17,178,70
"Sceney, Ron",1917-10-12,168,65
"Wills, Jim",1914-10-21,170,75
"Hickey, Reg",1906-03-27,185,92
"Quinn, Tommy",1908-08-11,169,80
"Gross, Reg",1910-06-13,178,78
"Rankin, Doug",1915-12-21,183,81
"Walker, Bob",1912-04-20,180,82
"Tucker, Joe",1913-01-15,168,70
"Organ, Geoff",1918-05-01,175,71
"Collins, Jack",1910-02-13,183,84
"Coles, Clive",1911-03-12,177,82
"Dyer, Bill",1917-03-15,175,69
"Taylor, Cliff",1914-04-06,180,81
"Evans, Jack",1908-01-19,182,81
"Hardiman, Peter",1905-02-20,182,81
"Hardiman, Les",1911-04-01,185,81
"Metherell, Jack",1912-11-09,178,80
"Mullane, Stan",1915-02-12,175,70
"Miller, Bernie",1915-05-03,170,69
"Johnson, Frank",1916-09-06,173,70
"Gaudion, Jack",1910-07-23,180,85
"Metherell, Len",1908-11-17,183,92
"Holden, Frank",1913-03-29,184,86
"Pender, Jim",1911-10-15,185,73
"McDonald, Rupe",1910-03-17,184,87
"Walker, Jack",1909-08-28,180,82
"Stapleton, Tom",1907-07-17,182,NA
"Blair, Billy",1912-06-03,178,NA
"Allen, Jim",1912-11-25,181,80
"Moloney, George",1909-08-07,174,73
"Plunkett, Billy",1914-05-02,183,73
"Harrison, Vic",1911-01-13,183,NA
"MacKay, Tom",1911-03-08,175,NA
"Borwick, Bill",1913-11-27,171,NA
"Lancaster, Ralph",1907-11-25,170,66
"McGregor, Alex",1908-06-15,179,78
"Holden, Jack",1910-09-07,184,86
"Lamb, Lindsay",1913-10-24,177,72
"Troughton, Bob",1904-06-17,175,71
"Todd, George",1903-01-10,185,79
"Williams, Jack",1902-01-31,179,76
"Lyons, Jack",1912-04-04,180,81
"Williamson, Jim",1909-01-11,178,76
"Leishman, Gus",1911-06-05,173,73
"Kelly, Max",1909-11-27,170,63
"Lavery, Alan",1904-05-20,170,70
"Orr, Eric",1909-08-31,173,73
"Barling, Ron",1912-09-28,178,70
"Greeves, Edward",1903-11-01,175,76
"Coghlan, Arthur",1902-08-16,180,86
"Anderson, Bill",1911-02-12,NA,NA
"Harbison, Jim",1911-09-22,178,NA
"Lamb, Milton",1909-07-14,173,70
"Vautier, Len",1909-03-23,180,NA
"Laver, Les",1900-12-09,173,76
"Mockridge, Frank",1903-10-21,174,79
"Rayson, Arthur",1901-12-01,170,71
"Llewellyn, Ted",1909-02-03,189,89
"Stokes, Mac",1909-05-20,174,NA
"Keppel, Frank",1899-12-08,182,73
"Hall, Syd",1902-06-08,173,70
"Plunkett, Jack",1911-01-05,170,67
"Welsh, Bill",1908-06-30,175,79
"Jones, Teddy",1910-03-06,171,75
"Riches, Ted",1907-03-10,187,83
"Bumpstead, Ewen",1910-03-03,NA,NA
"Stevenson, Edward",1901-04-11,166,57
"Jerram, George",1904-08-15,185,89
"Lamb, Garnet",1908-01-23,174,NA
"Smith, Les",1900-05-28,173,72
"Mulroyan, Cyril",1907-02-14,178,75
"Carroll, Andy",1906-07-19,173,NA
"Bretherton, Peter",1905-04-18,173,NA
"Jones, Percy",1908-01-20,179,NA
"Hagger, Lloyd",1898-12-07,183,72
"White, Milton",1902-06-19,NA,NA
"Lucas, Rod",1905-11-30,178,74
"Fleming, Eric",1903-03-16,191,81
"Chambers, Jack",1901-12-06,185,83
"Clearson, Len",1901-03-07,NA,NA
"Rankin, Cliff",1896-12-04,175,69
"Ferguson, Dave",1903-02-05,177,86
"Bell, Arch",1905-08-19,170,NA
"Fowler, Charlie",1902-01-24,NA,NA
"Warren, Jim",1903-07-22,164,74
"Comben, Aubrey",1904-09-01,173,66
"Money, Jim",1907-02-08,NA,NA
"Roach, Joe",1903-04-16,NA,NA
"McDiarmid, Cleve",1901-07-16,175,63
"Leahy, Ken",1906-09-22,174,71
"Brushfield, Nick",1906-07-26,180,73
"Jones, Jockie",1898-09-22,171,75
"Taylor, Bill",1902-06-02,188,99
"Fleming, Roy",1901-11-05,168,64
"Mills, Bruce",1901-12-24,175,78
"Paterson, Jack",1900-12-06,180,78
"Hickey, Don",1902-07-12,170,73
"Heagney, Denis",1898-04-13,180,83
"Johns, Keith",1902-02-25,183,84
"Murrells, Frank",1902-09-15,169,60
"Plane, Charlie",1896-03-20,183,86
"Pink, Arthur",1900-11-15,169,65
"Thomas, Stan",1892-05-09,180,79
"Sharland, Wallace",1902-10-11,191,83
"Profitt, Vic",1898-05-24,171,NA
"McCarter, Billy",1888-10-23,170,75
"Craven, Harold",1895-04-26,174,76
"Mathieson, Jim",1892-11-29,183,82
"Nicolson, Ken",1902-04-23,180,79
"Jorgensen, Frank",1902-08-19,180,72
"Britter, Harry",1891-06-23,180,79
"Kroger, Max",1899-03-14,183,77
"Keane, Bill",1900-05-18,174,70
"Dunstone, Jack",1901-05-15,180,72
"Rankin, Bert",1893-02-17,178,77
"Rodgers, Jimmy",1897-07-13,179,70
"Tayler, Alec",1892-05-16,182,73
"Ellis, Ray",1897-05-12,NA,NA
"McGregor, Stan",1895-05-11,179,NA
"Brownlees, Tom",1891-10-20,180,73
"Bendle, Alby",1893-10-30,166,NA
"Murrell, Jack",1901-06-23,175,74
"Ross, Jack",1892-04-04,183,81
"Rollason, Neville",1895-02-16,188,80
"Gross, Vic",1900-03-19,183,78
"Grigg, Dick",1885-06-08,180,83
"Eason, Alec",1889-11-08,175,78
"Peck, Eric",1899-08-01,175,70
"Smith, Herbie",1895-08-27,175,73
"Collins, Basil",1891-06-11,185,73
"Clemenger, John",1891-08-06,173,68
"Buchanan, Vic",1899-02-27,175,NA
"Manson, Harold",1894-05-17,179,NA
"Kearney, Jim",1893-07-04,183,79
"Bendle, Bill",1897-12-02,170,66
"Gray, Jack",1885-08-17,175,78
"Feder, Ted",1896-09-12,NA,NA
"Lineen, Jock",1890-08-12,183,83
"Armstrong, Les",1887-06-16,180,72
"Moulden, Bill",1889-06-30,NA,NA
"Mellan, Jim",1898-11-10,184,NA
"Johns, Alwyn",1894-03-17,178,70
"Healy, Leo",1890-10-20,170,71
"Jones, Bill",1897-09-19,177,81
"Martini, Percy",1888-06-04,183,85
"Hewitson, Arthur",1893-02-27,175,NA
"Stephens, Les",1898-10-24,NA,NA
"McQueen, Phil",1895-06-03,174,NA
"Brownlees, Rupe",1888-04-26,178,72
"Maguire, Vin",1892-07-31,175,NA
"Marsham, Harry",1890-07-19,185,90
"Sutterby, Reg",1899-04-25,175,NA
"Ellingsen, Percy",1895-07-18,168,86
"James, Syd",1898-04-07,NA,NA
"Reed, Doy",1895-07-01,165,NA
"Anderson, Bruce",1895-05-28,NA,NA
"Allen, Harry",1890-05-21,168,64
"Ross, Jack",1895-08-15,NA,NA
"Davie, Bert",1899-05-02,NA,NA
"Hope, George",1891-09-12,NA,NA
"Brady, Tom",1892-05-01,NA,NA
"Moodie, Duncan",1897-05-07,179,82
"Maher, Ambrose",1894-01-02,173,NA
"Gliddon, Bill",1896-08-31,165,62
"Everett, Ern",1892-10-31,173,75
"MacKay, Norm",1890-11-15,177,NA
"Peterson, Tommy",1898-02-19,NA,NA
"Sheridan, Jack",1898-09-18,NA,NA
"Hodgins, Frank",1888-05-04,NA,NA
"Baker, Jack",1891-12-09,180,70
"Stokes, Dick",1890-09-21,NA,NA
"McLennan, Gus",1897-08-29,160,NA
"Eason, Bill",1881-12-15,178,79
"James, Les",1890-06-29,178,70
"Thompson, Jamie",1892-05-29,NA,NA
"Armstrong, Ossy",1892-05-30,166,NA
"Landy, Bill",1897-06-25,164,60
"Gill, George",1892-07-14,NA,NA
"Orchard, Billy",1888-08-09,180,76
"Audsley, Jack",1892-10-24,171,NA
"Dalton, Bert",1891-08-22,180,72
"Jones, Bill",1887-05-11,188,90
"Slater, Joe",1888-11-29,179,86
"Heinz, George",1891-10-08,169,73
"Fairbairn, Les",1889-04-25,177,72
"Scown, Percy",1883-07-13,178,67
"Wilton, Billy",1889-03-17,184,NA
"Conradi, Harold",1894-07-28,171,NA
"Burleigh, Gordon",1889-03-24,187,NA
"Freeman, Neil",1890-04-21,183,78
"Schofield, Bert",1890-09-01,NA,NA
"Nankervis, Stephen",1890-02-11,175,67
"Martin, Len",1887-04-19,179,74
"Webber, Edmund",1894-03-12,180,79
"Holligan, Joe",1886-01-29,NA,NA
"Watt, Jack",1890-11-02,180,80
"Armstrong, Charlie",1883-03-10,180,80
"McLean, Ted",1893-10-12,173,66
"Pender, Laurie",1887-07-23,180,74
"Bant, Chris",1881-02-21,174,NA
"Moran, Frank",1883-10-03,NA,NA
"Palmer, Alby",1885-07-22,174,NA
"Martin, Tom",1888-11-17,174,NA
"Morgan, Doug",1886-03-30,178,76
"Doull, George",1879-12-25,174,NA
"Beard, Dave",1885-09-15,178,NA
"Whittington, Bert",1885-01-01,183,NA
"Smith, Sid",1890-10-25,NA,NA
"Grigg, Norm",1893-06-22,174,NA
"Cameron, Charlie",1886-05-25,NA,NA
"Young, Henry",1873-05-16,191,90
"Ricketts, George",1888-12-13,179,NA
"Todd, Reg",1889-10-04,NA,NA
"Gorman, Christy",1889-12-19,NA,NA
"Rankin, Teddy",1872-03-11,178,74
"Newling, Ernest",1876-06-26,188,94
"Boyd, Alex",1883-11-04,NA,NA
"Glover, Bert",1887-03-18,188,81
"Miller, Billy",1884-03-09,NA,NA
"Hassett, Jack",1880-08-15,174,75
"Salmon, Percy",1885-12-20,NA,NA
"Woods, Bill",1890-08-31,NA,NA
"Arbrew, Jack",1889-08-04,180,80
"Bowey, Frank",1881-12-16,NA,NA
"Chisholm, Les",1888-07-01,NA,NA
"Hardiman, Tom",1882-11-30,180,NA
"McKay, Hugh",1883-11-05,NA,NA
"Keon, Johnny",1885-10-01,NA,NA
"James, Fred",1884-05-09,NA,NA
"Ritchie, Robert",1884-01-22,NA,NA
"Marshall, Nick",1875-11-28,185,NA
"Dickson, Tom",1888-06-09,171,NA
"Bell, John",1886-10-07,174,79
"Pender, Jack",1885-11-01,177,NA
"Stephens, Peter",1879-05-16,177,NA
"Molan, Con",1886-10-15,NA,NA
"McGorlick, Norm",1887-11-28,NA,NA
"McKenzie, Alec",1882-07-04,179,NA
"Gell, Les",1886-08-12,NA,NA
"Tansing, George",1884-03-25,NA,NA
"Stodart, Frank",1885-03-10,180,NA
"Bourchier, Bert",1884-08-27,173,71
"Bennett, Herb",1885-03-12,NA,NA
"Davern, Bill",1883-09-03,NA,NA
"Roebuck, Les",1885-11-10,168,57
"McKinley, Bill",1882-03-24,171,NA
"Sherry, Tom",1881-10-05,NA,NA
"Day, Alf",1884-05-19,NA,NA
"Getsom, Bill",1885-01-11,NA,NA
"Boynton, Frank",1887-01-01,180,NA
"McNeilage, Jim",1885-02-17,175,NA
"Allen, Jack",1887-10-13,NA,NA
"Upton, Ralph",1885-06-08,171,71
"McNeilage, George",1890-08-03,173,NA
"Dupe, Alf",1876-01-01,NA,NA
"Fletcher, Norm",1884-10-02,NA,NA
"Fletcher, Percy",1879-10-20,NA,NA
"Rankin, Tom",1881-05-03,180,70
"Crowl, Joe",1883-12-13,182,NA
"Gallagher, Billy",1885-08-11,NA,NA
"Fischer, Henry",1880-07-11,178,79
"Wighton, Jack",1885-07-22,NA,NA
"Davison, Norman",1888-02-17,182,NA
"Gibney, Tom",1886-10-28,NA,NA
"Horman, Alf",1885-04-11,173,NA
"Harper, Jim",1884-08-15,NA,NA
"McKenzie, John",1885-05-19,178,76
"Wright, Jack",1878-05-04,182,NA
"Stubbs, Edgar",1883-03-28,NA,NA
"Knell, Jack",1878-07-10,NA,NA
"Woods, Ike",1879-08-20,NA,NA
"Munday, Jim",1887-07-07,175,73
"Leggett, George",1879-07-14,NA,NA
"James, Ern",1883-10-26,NA,NA
"Murphy, Johnny",1879-12-12,NA,NA
"Quinton, Horrie",1878-01-09,NA,NA
"Williams, Herb",1885-07-13,NA,NA
"Forbes, Ivan",1880-10-16,174,NA
"McCallum, Firth",1872-12-27,NA,NA
"Millar, Alf",1887-11-14,180,NA
"Brown, Bill",1882-11-03,180,83
"Clarke, Ken",1883-02-23,178,NA
"Holligan, Mick",1881-09-16,NA,NA
"Hopkins, Artie",1879-08-21,NA,NA
"Stewart, Walter",1875-04-15,178,NA
"Piper, Jim",1884-04-30,182,NA
"Kelly, Joe",1884-03-25,NA,NA
"McInnes, John",1884-09-03,NA,NA
"Bennion, Bill",1881-09-06,NA,NA
"Cheeseman, Henry",1875-12-20,NA,NA
"Burns, Bill",1884-08-19,180,74
"Digby, Reg",1879-01-21,NA,NA
"Fox, Joe",1879-01-20,182,82
"McMurrich, Peter",1886-05-12,NA,NA
"Clarke, Bert",1884-03-29,174,74
"Coles, Charlie",1878-12-26,183,83
"Horman, George",1883-10-01,168,NA
"Roberts, Jimmy",1883-04-16,NA,NA
"Holligan, Teddy",1878-03-26,NA,NA
"Mesley, Arthur",1876-08-07,169,NA
"Pincott, Arthur",1877-03-03,177,NA
"Lee, Jack",1878-11-09,NA,NA
"Bailiff, Les",1877-08-16,NA,NA
"Cronin, Fred",1882-09-16,NA,NA
"Hines, Willie",1880-04-28,NA,NA
"Kerr, Bob",1875-05-01,NA,NA
"Aitken, James",1882-07-23,171,70
"Webb, Hughie",1878-11-14,NA,NA
"Wayth, Stan",1883-06-28,169,NA
"Holland, Ted",1879-11-17,NA,NA
"Mahoney, Bill",1885-01-01,163,67
"Potter, Ern",1878-03-21,NA,NA
"Pitman, Herb",1881-06-25,178,NA
"Shelley, Tom",1876-11-12,175,NA
"Reed, Arthur",1883-07-19,182,NA
"Palmer, Jimmy",1877-12-19,NA,NA
"Hurley, John",1884-01-19,177,NA
"Hall, Bert",1880-08-24,166,NA
"Batty, Ern",1879-09-20,171,NA
"Buchan, Tommy",1874-10-27,NA,NA
"Burns, Peter",1866-01-05,180,82
"Baker, Jack",1878-05-08,178,74
"Davie, Jack",1874-10-05,NA,NA
"Munday, Bill",1876-01-24,179,NA
"McKeegan, Tim",1877-09-26,179,NA
"Horman, James",1877-11-09,178,NA
"Gill, Billy",1876-04-12,NA,NA
"Thompson, Archie",1875-08-05,NA,NA
"OLoughlin, Jack",1873-08-10,179,NA
"McShane, Jim",1871-02-28,179,NA
"Saxbee, George",1881-08-05,NA,NA
"Hardiman, Jack",1877-07-27,182,NA
"Lord, Don",1875-02-15,NA,NA
"Palmer, George",1879-06-09,NA,NA
"Moodie, Bill",1879-10-24,NA,NA
"Powell, Joe",1868-06-30,NA,NA
"Strickland, Len",1880-05-13,174,NA
"Collocott, Harold",1883-06-25,170,NA
"Gatehouse, James",1883-03-27,179,NA
"Quinton, Heber",1883-11-02,163,53
"James, Eddy",1874-02-14,193,96
"De Gruchy, Bill",1877-06-30,161,NA
"Stanlake, Robert",1883-03-17,168,NA
"Conway, Jack",1867-03-26,NA,NA
"Parkin, Jack",1877-06-09,180,NA
"Leighton, Ernie",1872-03-24,183,89
"Greeves, Ted",1878-12-16,NA,NA
"Pincott, Billy",1875-07-24,178,NA
"Parkin, Harry",1879-06-21,179,NA
"White, Fred",1877-05-06,NA,NA
"ODonnell, Pat",1876-11-25,NA,NA
"Brockwell, Sam",1871-02-04,NA,NA
"Cooke, Walter",1876-11-18,NA,NA
"King, Alec",1874-06-01,NA,NA
"McKenzie, Arthur",1879-12-25,183,81
"Calvert, Ossie",1880-08-04,175,NA
"Barling, Bert",1878-01-24,NA,NA
"Anderson, Ernest",1877-08-17,NA,NA
"Dore, Jack",1875-05-23,NA,NA
"Quinn, Jack",1874-09-28,NA,NA
"Robertson, Bill",1879-03-31,170,NA
"Maguire, Tom",1873-12-24,NA,NA
"Sandford, Cecil",1874-08-02,173,NA
"Pontin, Alf",1869-09-22,NA,NA
"Moran, Ned",1876-11-29,NA,NA
"Armstrong, Mac",1869-09-17,NA,NA
"Enfield, Stan",1873-08-31,177,NA
"McKay, Bill",1879-07-10,180,NA
"Paterson, Bob",1875-10-10,NA,NA
"Sharkey, Jack",1874-01-24,NA,NA
"Lucas, John",1869-06-27,NA,NA
"Mullen, Tom",1868-12-25,NA,NA
"Miller, Touk",1996-02-22,178,83
"Sexton, Alex",1993-12-03,186,83
"Lemmens, Sean",1994-11-02,184,84
"Ballard, Charlie",1999-07-23,195,91
"Lukosius, Jack",2000-08-09,195,83
"Powell, Wil",1999-08-26,185,76
"Anderson, Noah",2001-02-17,188,86
"King, Ben",2000-07-07,202,87
"Rowell, Matt",2001-07-01,178,74
"Flanders, Sam",2001-07-24,182,81
"Andrew, Mac",2003-12-04,201,74
"Humphrey, Bailey",2004-09-11,186,86
"Budarick, Connor",2001-04-06,175,72
"Davies, Alex",2002-03-18,191,85
"Long, Ben",1997-08-21,184,79
"Uwland, Bodhi",2003-07-25,188,89
"Clohesy, Sam",2002-12-12,189,72
"Graham, Will",2005-07-27,186,81
"Rogers, Jake",2005-03-02,172,68
"Swallow, David",1992-11-19,185,87
"Walter, Jed",2005-06-08,195,97
"Fiorini, Brayden",1997-08-22,186,82
"Rosas, Malcolm",2001-06-27,175,70
"Jeffrey, Joel",2002-03-12,192,78
"Johnston, Lloyd",2004-09-21,184,76
"Moyle, Ned",2002-02-15,206,104
"Ainsworth, Ben",1998-02-10,178,77
"Day, Sam",1992-09-06,197,104
"Ellis, Brandon",1993-08-03,181,82
"Read, Ethan",2005-07-07,202,92
"Macpherson, Darcy",1997-10-29,174,78
"Chol, Mabior",1997-01-29,200,91
"Farrar, Jy",1996-12-07,191,79
"Tsitas, James",1995-03-03,181,84
"Oea, Hewago",2001-11-13,172,70
"Graham, Caleb",2000-09-12,195,92
"Thompson, Rory",1991-03-12,200,100
"Harbrow, Jarrod",1988-07-18,178,73
"Joyce, Jesse",1997-08-17,191,84
"Young, Aaron",1992-12-06,189,84
"Dawson, Jacob",1999-11-03,182,79
"Miles, Anthony",1992-02-28,180,81
"Heron, Jacob",1999-12-10,180,76
"Hombsch, Jack",1993-03-07,194,89
"Ellis, Corey",1996-10-09,184,79
"Scheer, Brad",1998-08-31,184,84
"Schoenfeld, Josh",1997-07-03,186,75
"May, Steven",1992-01-10,193,100
"Leslie, Jack",1995-04-27,197,98
"Crossley, Brayden",1999-08-16,198,102
"Kolodjashnij, Kade",1995-08-09,190,85
"Lonergan, Jesse",1994-11-14,184,91
"Spencer, Max",1997-10-04,190,82
"Lynch, Tom",1992-10-31,199,99
"Hall, Aaron",1990-11-09,185,85
"Rosa, Matt",1986-11-23,191,84
"McKenzie, Trent",1992-04-03,191,83
"Hallahan, Mitch",1992-08-23,183,84
"Brooksby, Keegan",1990-04-27,197,99
"Currie, Daniel",1989-02-15,201,96
"Scrimshaw, Jack",1998-09-04,193,88
"Grant, Jarrad",1989-07-06,193,85
"Davis, Ryan",1989-06-07,188,85
"Willis, Mackenzie",1995-08-07,182,82
"Nicholls, Tom",1992-03-04,203,102
"Malceski, Nick",1984-08-15,189,86
"Tape, Seb",1992-08-06,191,83
"Prestia, Dion",1992-10-12,175,82
"Russell, Luke",1992-01-24,186,83
"Cameron, Clay",1994-05-27,191,86
"Dixon, Charlie",1990-09-23,200,105
"Hall, Josh",1990-04-03,197,88
"Boston, Andrew",1994-03-23,180,80
"Glenn, Josh",1994-03-10,180,78
"Warnock, Matthew",1984-04-03,195,97
"Sumner, Timmy",1994-10-09,187,89
"Herbert, Louis",1994-06-27,188,77
"Murphy, Tom",1986-03-19,189,85
"Hunt, Karmichael",1986-11-17,186,92
"Hutchins, Jack",1992-02-20,191,92
"Weller, Maverick",1992-02-13,182,87
"Wilkinson, Joel",1991-11-29,186,81
"Gillbee, Jacob",1992-09-13,184,76
"Allen, Jackson",1993-04-14,179,79
"Osborne, Leigh",1990-03-13,182,81
"Brown, Campbell",1983-08-28,177,83
"Patrick, Liam",1988-03-04,189,72
"Horsley, Kyal",1987-09-02,182,88
"Hickey, Tom",1991-03-06,201,96
"Taylor, Jeremy",1992-06-17,191,83
"Hine, Taylor",1992-01-24,184,75
"Magin, Alik",1991-04-13,181,72
"Coad, Michael",1983-09-13,190,86
"Flanagan, Piers",1992-03-31,189,74
"Toy, Josh",1992-04-18,185,87
"McQualter, Andrew",1986-06-09,179,74
"Tippett, Joel",1988-10-26,196,94
"Daye, Joseph",1990-02-02,195,85
"Krakouer, Nathan",1988-05-05,182,78
"Harris, Daniel",1982-05-10,180,82
"Jolly, Hayden",1992-04-04,184,83
"Liddy, Rex",1992-01-02,185,86
"Lock, Marc",1991-06-21,192,83
"Ward, Callan",1990-04-10,187,84
"Greene, Toby",1993-09-25,182,83
"Whitfield, Lachie",1994-07-18,187,81
"Coniglio, Stephen",1993-12-15,182,86
"Kelly, Josh",1995-02-12,184,83
"Haynes, Nick",1992-05-18,193,90
"Himmelberg, Harry",1996-05-08,194,92
"Perryman, Harry",1998-12-19,184,80
"Taylor, Sam",1999-05-05,196,93
"Idun, Connor",2000-07-29,191,91
"Green, Tom",2001-01-23,188,85
"OHalloran, Xavier",2000-07-11,186,84
"Buckley, Jack",1997-12-17,193,87
"Briggs, Kieren",1999-10-06,200,103
"Callaghan, Finn",2003-04-26,192,86
"Peatling, James",2000-08-21,182,73
"Brown, Callum",2000-08-15,188,91
"Cadman, Aaron",2004-03-03,195,93
"Thomas, Harvey",2005-08-08,176,69
"McMullin, Toby",2004-08-06,183,83
"Jones, Darcy",2004-04-03,175,67
"Daniels, Brent",1999-03-09,170,74
"Ash, Lachie",2001-06-21,186,80
"Bedford, Toby",2000-05-27,178,69
"Stone, Conor",2002-04-22,188,81
"Gruzewski, Max",2004-07-21,192,84
"Fonti, Joe",2004-12-24,189,73
"Riccardi, Jake",1999-11-07,195,92
"Cumming, Isaac",1998-08-11,184,83
"Aleer, Leek",2001-08-21,195,85
"Angwin, Ryan",2002-12-12,185,80
"Wehr, Jacob",1998-07-05,184,75
"Lloyd, Daniel",1992-02-18,187,85
"Fahey, Josh",2003-11-11,187,82
"Rowston, Harry",2004-08-12,182,82
"Fleeton, Cameron",2002-06-17,192,89
"Flynn, Matt",1997-09-13,200,103
"Kennedy, Adam",1992-07-12,182,80
"Hamilton, Cooper",2003-09-24,184,85
"Hopper, Jacob",1997-02-06,187,87
"Taranto, Tim",1998-01-28,187,87
"Stein, Jake",1994-01-17,195,95
"Preuss, Braydon",1995-06-16,206,109
"Sproule, Zach",1998-05-12,197,92
"Brander, Jarrod",1999-02-11,195,92
"Reid, Sam",1989-11-07,188,85
"Buntine, Matt",1993-10-19,189,84
"Shipley, Nick",1999-06-25,188,95
"Finlayson, Jeremy",1996-02-09,196,93
"Corr, Aidan",1994-05-17,195,97
"Langdon, Zac",1995-11-13,177,81
"Hutchesson, Tom",1995-04-04,177,75
"Tomlinson, Adam",1993-08-10,194,96
"Deledio, Brett",1987-04-18,188,88
"Bonar, Aiden",1999-03-08,188,87
"Griffen, Ryan",1986-07-27,192,88
"Patton, Jonathon",1993-05-20,198,102
"Mohr, Tim",1988-10-19,196,103
"Scully, Tom",1991-05-15,181,80
"Steele, Jack",1995-12-13,187,90
"Downie, Tom",1993-04-27,203,99
"Bugg, Tomas",1993-04-05,185,79
"Boyd, Tom",1995-08-22,200,103
"Frost, Sam",1993-08-28,194,93
"ORourke, Jonathan",1994-04-21,184,80
"Golds, Tim",1993-04-06,193,86
"Addison, Dylan",1987-10-07,184,84
"Gilham, Stephen",1984-09-02,192,86
"Tyson, Dom",1993-06-08,186,85
"Brogan, Dean",1978-12-14,200,101
"Bruce, Josh",1992-06-08,197,101
"Darley, Sam",1993-02-15,186,82
"Ugle, Gerald",1993-01-31,181,82
"Cornes, Chad",1979-11-12,192,95
"Folau, Israel",1989-04-03,193,102
"McDonald, James",1976-10-05,180,75
"Clifton, Steve",1987-05-27,182,84
"Cooyou, Rhys",1991-03-22,183,70
"Schulz, Sam",1992-09-19,183,76
"Breust, Luke",1990-11-11,184,84
"Hardwick, Blake",1997-02-05,181,79
"Sicily, James",1995-01-06,186,87
"Worpel, James",1999-01-24,185,85
"Impey, Jarman",1995-07-09,178,82
"Morrison, Harry",1998-11-12,180,79
"Moore, Dylan",1999-08-04,176,70
"Nash, Conor",1998-07-28,197,93
"Newcombe, Jai",2001-08-02,186,85
"Macdonald, Connor",2003-01-13,184,77
"Amon, Karl",1995-08-19,181,71
"Maginness, Finn",2001-02-23,187,80
"Weddle, Josh",2004-05-25,191,92
"Mackenzie, Cam",2004-01-21,188,82
"Watson, Nick",2005-02-24,170,68
"Dear, Calsher",2005-08-04,195,87
"Day, Will",2001-06-05,187,70
"Jiath, Changkuoth",1999-06-13,185,74
"Ward, Josh",2003-08-17,181,74
"Lewis, Mitch",1998-10-14,198,92
"Mitchell, Seamus",2002-07-03,181,80
"Reeves, Ned",1998-10-31,208,96
"Serong, Jai",2003-02-16,193,82
"Phillips, Ethan",1999-07-17,197,90
"Ramsden, Max",2003-04-19,203,86
"Hustwaite, Henry",2004-07-20,195,84
"Butler, Sam",2003-02-10,184,76
"Koschitzke, Jacob",2000-07-11,196,94
"Blanck, James",2000-11-20,196,93
"Grainger-Barras, Denver",2002-04-17,195,78
"Wingard, Chad",1993-07-29,183,85
"Macdonald, Bailey",2004-08-04,182,74
"Bramble, Lachlan",1998-04-19,182,75
"Brockman, Tyler",2002-11-22,181,75
"Greene, Fergus",1997-12-20,187,75
"McEvoy, Ben",1989-07-11,200,102
"Howe, Daniel",1995-12-04,191,87
"Saunders, Jack",2002-02-11,180,76
"Shiels, Liam",1991-04-29,183,84
"Jeka, Emerson",2001-09-18,197,87
"Morris, Josh",2001-11-07,186,76
"Callow, Jackson",2002-06-11,194,95
"Burgoyne, Shaun",1982-10-21,186,89
"OBrien, Tim",1994-03-28,193,90
"Hanrahan, Oliver",1998-08-27,181,75
"Downie, Connor",2002-05-31,185,82
"Greaves, Damon",2000-04-25,186,77
"Cousins, James",1998-03-19,185,84
"Stratton, Ben",1989-03-01,189,88
"Puopolo, Paul",1987-12-02,173,78
"Frawley, James",1988-09-20,193,96
"Glass, Conor",1997-09-28,189,84
"Minchington, Darren",1993-12-09,179,82
"Jones, Harry",1999-03-15,185,80
"Roughead, Jarryd",1987-01-23,193,98
"Brand, Kaiden",1994-04-08,198,98
"Mirra, David",1991-03-20,186,89
"Schoenmakers, Ryan",1990-11-08,195,94
"Duryea, Taylor",1991-04-24,179,80
"Burton, Ryan",1997-01-31,191,90
"Miles, Teia",1996-11-02,180,70
"Whitecross, Brendan",1990-01-25,183,86
"Langford, Will",1992-07-03,187,83
"Rioli, Cyril",1989-07-14,177,80
"Hartung, Billy",1995-01-24,177,78
"Stewart, Kade",1997-01-16,180,67
"Heatherley, Kurt",1995-01-01,193,89
"Gibson, Josh",1984-03-13,189,93
"Vickery, Ty",1990-05-31,200,100
"Willsmore, Dallas",1995-05-29,191,85
"Fitzpatrick, Jack",1991-06-26,200,99
